seed = 9838 sort algorithm = Quick Sort

Unsorted:
       956        773        860        924        867        468        564        806
       794         30        793        654        602        769        669        594
       941        630         69        117        945        621        894        402
       436        639         83        834        919        799        431        227
       924        643        151        143        464         68        949        610
        98        742        265         52        864        286        646        805
       916         67        274        861        689        169        616        477
       160        699        311        431        850         95        658        126
       738        810        269        554        878        571        165        328
       665        782        732        881         68        731         39        336
       798        313        550        487        834        166        317        347
       217        628        778        419         75        437        897        166
       599        518        720        829         89        237        509        107
        19        241        988         87        324         27        424        123
       341        326        962        527        844        279        874         61
       260        653        832        335         90        729        501         41
       599        574        870         41        811        379        148        831
       972        136        270        297        164         46        772        857
       372        734        384        216        366        259        629        978
       264        813        313        706        894        167        747        494
        93        617        535        904        348        683         87        672
       819        710        321        335        756         93        192        481
       180        577         49        898        188         31        876        452
       844        541        158        739        708        905        233        153
       874        120         58        574        155        497        598        326
       559        920        662        668        365        206        149        897
       783        550        795        323        581        671        775        426
       213        285        517        273        542        750        779        768
       222        837        342        377        686        941        703        246
       213        717        914        930        924        415        828         59
       965        975        383        899        999        510        325        564
       796        842        837        690        944        616        459        166
       805        153        895        844        446        950        442        659
       668        708        590        592        123        770        651        440
       745         34        339        744        897         16        308        693
       858        498        735        154        466        194        672        624
       700        567        820        146        518        614        806        538
       322        748        130        797        518        781        589        615
       168        929        712         65        297        372        110        508
       222        845        662         41        392        687         17         92
       606        837        238        124        451        396        662        125
       144        144        922         14        926        511        982         94
       792        694        159         90        418        269        598        641
       466        612        682        858        299         51        950        906
       888        541        382        691        937        397        816         82
       541        738        448        467        601        430        913        394
       476        424        484        895        693        434        888        160
        46        570        370        346        621        321        252        861
       862        634        904        799        383        720        233        925
       810         34        744        411        464        658        157        293
        82        641        188        128        427         76        640        474
       998         10        820        971        683        424        184        545
       410         88        697        794        160        282         71        322
       316        815         85        133        825        243        426        260
       236        614        740        664         42        380        138        392
       742        310        363        426         86        899        323        496
       987        372        642        499        655        713        821        323
       881        906        456         58        149        234        318        738
       848        410        402        242        790        892        634        533
       202        349        311        640        248        634        136        587
         7        131        438         14        196        259        337         77
       518        146        488         19        380        158        757        581
       569        159        823        359        403        810        244        957
       511        555        597        760        542         86        699        549
       217        138        563        413        749        252        843        267
       398        683        287        779        841         44        360        410
       556        535        122        959        697        366        269        209
       274        866        321        816        952         20        717        521
       510        280        287        260        884        482 
Sorting:

Sorted:
        14         20         30         44         52         67         68         69
        77         83         86         98        117        122        138        143
       146        151        153        158        159        169        196        209
       217        227        244        252        259        260        265        267
       975        978        982        988        998        999 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
-1345938988 1683221428 -1625813011  206558119 1122899651   51893134 1630711583 1745970324
-1323837443 -1357550910  542060153 -1003708927 1124473524  222698990 1634695373 -641105700
       975        978        982        988        998        999 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
-1345938988 1683221428 -1625813011  206558119 1122899651   51893134 1630711583 1745970324
-1323837443 -1357550910  542060153 -1003708927 1124473524  222698990 1634695373 -641105700
        41         42         46         46         49         51         58         61
        71         76         82         82         85         87         87         88
        89         90         90         93         93         94         95        107
       120        123        123        124        125        126        128        131
       133        136        136        138        144        144        148        149
       153        155        157        158        159        160        160        160
       164        167        180        184        188        188        192        206
       213        216        233        233        236        237        241        243
       252        259        260        260        264        269        269        270
       273        274        274        279        280        282        285        286
       287        287        293        297        299        310        311        313
       316        321        321        321        322        323        324        326
       326        335        335        337        341        346        348        359
       360        363        365        366        366        370        372        379
       380        380        382        383        384        392        394        396
       397        398        402        403        410        410        411        413
       418        424        424        424        426        426        427        430
       431        431        434        436        438        442        446        448
       452        464        466        467        474        476        481          7
        10         14         19         19         27         31         34         41
       451        464        468        477        482         16         34         39
        59         68         75         86        154        165        166        166
       166        194        213        217        222        238        246        269
       308        313        317        323        325        328        336        339
       342        347        377        383        415        419        426        437
       440        459        466        484        487        488        494        496
       497        498        501        509        510        510        511        511
       517        518        518        521        527        535        535        541
       541        541        542        542        545        549        550        550
       554        555        556        559        563        564        564        569
       570        571        574        574        577        581        581        590
       592        594        597        598        598        599        599        601
       602        606        610        612        614        616        616        617
       621        621        624        628        629        630        634        639
       640        641        641        643        646        651        653        654
       658        659        662        662        664        665        668        668
       669        671        672        672        682        683        683        683
       686        689        690        691        693        693        694        697
       697        699        699        703        706        708        708        710
       717        717        720        720        729        731        732        734
       735        738        738        739        740        742        742        744
       744        745        747        749        750        756        757        760
       768        769        770        772        773        775        778        779
       779        782        783        792        793        794        794        795
       796        798        799        799        805        805        806        810
       810        810        811        813        815        816        816        819
       820        823        825        828        829        831        832        834
       834        837        837        837        841        842        843        844
       844        844        850        857        858        858        860        861
       861        862        864        866        867        870        874        874
       876        878        881        884        888        888        894        894
       895        895        897        897        897        898        899        899
       904        904        905        906        913        914        916        919
       920        922        924        924        924        925        926        930
       937        941        941        944        945        949        950        950
       952        956        957        959        962        965        971        972
       975        978        982        988        998        999 
